Semester Admitted,Department,Major,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Summer 2020,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Eng - Automotive,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemistry,CHM-Biochemistry Spclty,,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Quantitative Biosci & Eng,Spring 2022,,,,,,,,,,,,,,,,,,,,
Fall 2019,Engineering Design & Society,EG-Individualized Spclty,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Geophysical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Info Sys & Science Spclty,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemistry,Chemistry,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Quantitative Biosci & Eng,Spring 2023,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Petroleum,Petroleum Engineering,,,,,,,,,,Fall 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Geo & Geological Engineering,Geological Engineering - GTch,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2022,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Honors,STEM Education,,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Mining,Mining Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Eng - Biomechanics,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Chemistry,Quantitative Biosci & Eng,Spring 2023,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Quantitative Biosci & Eng,Fall 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Geophysics,Geophysical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Computer Science,Computer Science,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mining,Mining Engineering,,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Economics and Business,Economics - Business,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Quantitative Biosci & Eng,Fall 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Statistics,,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Computer Science,Computer Science,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Undecided,Undecided,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Computer Science,CS-Data Science Spclty,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Petroleum,Petroleum Engineering,,,,,,,,,,Fall 2021,,,,,,,,,,,
Fall 2019,Geo & Geological Engineering,Geological Engineering - M/FEx,Spring 2022,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,Spring 2022,,,,,,,,,,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Quantitative Biosci & Eng,Fall 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Geophysics,Geophysical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Operations Research w Eng,,,,,,,,,,,,,,,,,,,,Spring 2020,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Geophysics,Geophysical Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Geophysics,Geophysical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,,,,,,,,,Spring 2022,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,,,,,,,,,,Fall 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Computer Science,Computer Science,,,,,,,,,,,,,,,,,,,,Fall 2019,
Fall 2019,Electrical Engineering,Electrical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Geophysics,Geophysical Engineering,,Summer 2020,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2021,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Non-Degree Program Undergrad,Non-degree Undergraduate,Fall 2019,,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Quantitative Biosci & Eng,Fall 2021,,,,,,,,,,,,,,,,,,,,
Fall 2019,Non-Degree Program Undergrad,Non-degree Undergraduate,,,,,,,,,,,,Fall 2019,,,,,,,,,
Fall 2019,,Space Resources,,,,,,,,,,,,,,,,,,,,Spring 2020,
Fall 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Spring 2021,,,,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,,,,,,,,,,Spring 2012,,Fall 2012,,,,,,,,,
Fall 2019,Physics,Engineering Physics,,,,,,,,,,Fall 2013,,,,Fall 2015,,,,,,,
Fall 2019,Electrical Enginrg & Comp Sci,Electrical Engineering,Spring 2019,,,,,,,,,Fall 2016,,,,,,,,,,,
Fall 2019,Geophysics,Geophysics,Spring 2016,,,,,,,,,Spring 2017,,,,,,,,,,,
Fall 2019,Geo & Geological Engineering,Geological Engineering - GTch,,,,,,,,,,Spring 2017,,Fall 2017,,,,,,,,,
Fall 2019,Physics,Engineering Physics,Fall 2014,,,,,,,,,Fall 2015,,,,,,,,,,,
Fall 2019,Geophysics,Geophysics,Spring 2016,,,,,,,,,Summer One 2017,,,,,,,,,,,
Fall 2019,Computer Science,Computer Science,,,,,,,,,,,,,,,,,Fall 2019,,,Fall 2019,
Fall 2019,Electrical Enginrg & Comp Sci,Electrical Engineering,Spring 2016,,,,,,,,,Spring 2016,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Statistics,,,,,,,,,,Fall 2016,,Spring 2017,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2017,,Spring 2019,,,,,,,,,
Fall 2019,Physics,Engineering Physics,Fall 2016,,,,,,,,,Spring 2017,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Summer 2021,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Electrical Enginrg & Comp Sci,Electrical Engineering,,Fall 2016,,,,,,,,Fall 2016,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Fall 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Computer Science,Computer Science,Fall 2019,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2021,,,,,,,,,,Fall 2018,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Spring 2018,,,,,,,,,,,
Fall 2019,Geo & Geological Engineering,Undrgrnd Const & Tunnel Eng,,,,,,,,,,,,,,,,,,,,Fall 2019,Spring 2020
Fall 2019,Chemistry,Biochemistry,,Fall 2019,,,,,,,,,,Spring 2021,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Fall 2018,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,Fall 2019,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,Fall 2019,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,Fall 2019,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Physics,Nuclear Engineering,Fall 2019,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,Fall 2022,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Geo & Geological Engineering,Geological Engineering - GTch,,Fall 2019,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,,Fall 2019,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Interdisciplinary Program,Statistics,,,,,,,,,,Fall 2019,,Fall 2020,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Spring 2021,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Statistics,,,,,,,,,,Fall 2019,,Spring 2020,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,Fall 2022,,,,,,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Computational & Applied Math,Spring 2020,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2020,,Fall 2020,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Eng - Aerospace,Spring 2020,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Fall 2019,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,,Fall 2019,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,Spring 2020,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Computational & Applied Math,,,,,,,,Fall 2022,,Spring 2021,,,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,Spring 2022,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,,,,,,,,,,Fall 2020,,Spring 2022,,,,,,,,,
Fall 2019,Computer Science,Computer Science,Spring 2020,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Computational & Applied Math,,,,,,,,,,Spring 2021,,Fall 2021,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Fall 2020,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Fall 2019,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Computational & Applied Math,,Fall 2019,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Economics and Business,Business Eng & Mngmt Sci,Fall 2021,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Computer Science,Computer Science,,,,,,,,,,,Fall 2019,Fall 2019,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Fall 2019,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Economics and Business,Business Eng & Mngmt Sci,Fall 2021,,,,Fall 2023,,,,,,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,,,Spring 2020,,Fall 2020,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Spring 2021,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,Fall 2019,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Fall 2021,,,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,Spring 2022,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Spring 2020,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,,Summer 2020,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,Spring 2023,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Fall 2019,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Statistics,Fall 2022,,,,Summer 2023,,,,,,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,Fall 2019,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Spring 2021,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2020,,,,Fall 2022,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,Spring 2023,,,,,,,,,,,,,,,,
Fall 2019,Physics,Engineering Physics,Spring 2022,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2019,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Computer Science,CS-Computer Eng Spclty,,Summer 2020,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,,,,,,,,Fall 2022,,Spring 2022,,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Fall 2019,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,Fall 2019,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,Spring 2023,,Fall 2021,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2019,,Spring 2021,,,,,,,,,
Fall 2019,Petroleum,Petroleum Engineering,,Fall 2019,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Computational & Applied Math,,,,,,,,,,Fall 2019,,Fall 2022,,,,,,,,,
Fall 2019,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,Fall 2020,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Computational & Applied Math,,,,,,,,,,Spring 2021,,Fall 2021,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Spring 2022,,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Environmental Engineering,,Fall 2019,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,Spring 2022,,,,,,,,,Spring 2020,,,,,,,,,,,
Fall 2019,Applied Math & Statistics,Statistics,,Fall 2019,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,,,Fall 2023,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2019,,Spring 2021,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,Summer 2023,,,,,,,,,,,,,,,,
Fall 2019,Petroleum,Petroleum Engineering,,,,,,,,,,Summer 2021,,Fall 2021,,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,,Fall 2019,,,,,,,,,,
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Fall 2019,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,,Fall 2019,,Fall 2019,,,,,,,,
Fall 2019,Mechanical Engineering,Mechanical Engineering,Spring 2020,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2019,Undecided,Undecided,,,,,,,,,,,Fall 2019,Spring 2020,,,,,,,,,
Fall 2019,Physics,Engineering Physics,Spring 2020,,,,,,,,,Spring 2021,,,,,,,,,,,
Fall 2019,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,,Fall 2019,Fall 2019,,,,,,,,,
Fall 2019,Economics and Business,Operations Research w Eng,,,,,,,,,,,,Fall 2019,,,,,,,,Spring 2020,
